"user_id","post_id","content","post_date"
"114","1","I am restless","2022-12-07"
"47","2","I feel disappointed","2022-12-07"
"128","3","I'm feeling confident","2022-12-08"
"16","4","I am satisfied","2022-12-08"
"334","5","I am stressed","2022-12-09"
"25","6","I've gotten disgusted","2022-12-09"
"581","7","I've gotten energetic","2022-12-10"
"748","8","I've gotten calm","2022-12-10"
"919","9","I've gotten fired up","2022-12-11"
"37","10","I've been pessimistic","2022-12-11"
"110","11","I'm feeling calm","2022-12-12"
"747","12","I've gotten lazy","2022-12-12"
"8","13","I'm pumped","2022-12-13"
"2","14","I'm introspective","2022-12-13"
"29","15","I've gotten disappointed","2022-12-13"
"564","16","I am disgusted","2022-12-14"
"144","17","I am energetic","2022-12-14"
"160","18","I'm feeling apprehensive","2022-12-14"
"488","19","I'm feeling overwhelmed","2022-12-15"
"75","20","I'm feeling annoyed","2022-12-15"
"903","21","I am euphoric","2022-12-15"
"629","22","I am fired up","2022-12-16"
"163","23","I've been thrilled","2022-12-16"
"221","24","I'm feeling disappointed","2022-12-16"
"74","25","I've gotten rejuvenated","2022-12-17"
"89","26","I'm disgusted","2022-12-17"
"863","27","I'm feeling disillusioned","2022-12-17"
"324","28","I'm feeling stressed","2022-12-18"
"3","29","I feel hopeful","2022-12-18"
"395","30","I'm eager","2022-12-18"
"14","31","I feel excited","2022-12-19"
"526","32","I feel rejuvenated","2022-12-19"
"35","33","I feel energetic","2022-12-19"
"89","34","I've been excited","2022-12-20"
"33","35","I've been rejuvenated","2022-12-20"
"68","36","I'm feeling rejuvenated","2022-12-20"
"949","37","I'm feeling hopeful","2022-12-21"
"5","38","I'm dejected","2022-12-21"
"5","39","I've been rejuvenated","2022-12-21"
"63","40","I'm melancholic","2022-12-22"
"660","41","I'm feeling satisfied","2022-12-22"
"165","42","I am angry","2022-12-22"
"621","43","I've been happy","2022-12-23"
"241","44","I've been stressed","2022-12-23"
"522","45","I've been worried","2022-12-23"
"12","46","I'm feeling restless","2022-12-24"
"150","47","I'm itchy","2022-12-24"
"209","48","I've been content","2022-12-24"
"127","49","I've been worried","2022-12-25"
"180","50","I'm fired up","2022-12-25"
"860","51","I've gotten disgusted","2022-12-25"
"449","52","I am melancholic","2022-12-26"
"73","53","I feel fired up","2022-12-26"
"74","54","I'm feeling lazy","2022-12-26"
"339","55","I'm pumped","2022-12-27"
"559","56","I feel bored","2022-12-27"
"412","57","I'm feeling excited","2022-12-27"
"60","58","I feel restless","2022-12-28"
"78","59","I'm feeling joyful","2022-12-28"
"51","60","I've been worried","2022-12-28"
"20","61","I feel grateful","2022-12-29"
"19","62","I'm feeling impatient","2022-12-29"
"53","63","I feel hopeful","2022-12-29"
"241","64","I am confident","2022-12-30"
"65","65","I'm hopeful","2022-12-30"
"76","66","I'm feeling bored","2022-12-30"
"916","67","I am nervous","2022-12-31"
"12","68","I am relaxed","2022-12-31"
"29","69","I'm feeling hopeful","2022-12-31"
"438","70","I've been serene","2023-01-01"
"90","71","I'm feeling pessimistic","2023-01-01"
"868","72","I'm spontaneous","2023-01-01"
"117","73","I've been happy","2023-01-02"
"973","74","I feel pumped","2023-01-02"
"42","75","I'm feeling apprehensive","2023-01-02"
"33","76","I've gotten excited","2023-01-03"
"752","77","I'm dejected","2023-01-03"
"49","78","I feel tired","2023-01-03"
"928","79","I'm feeling tired","2023-01-04"
"208","80","I'm lazy","2023-01-04"
"39","81","I am dejected","2023-01-04"
"67","82","I'm tired","2023-01-05"
"1000","83","I'm feeling dejected","2023-01-05"
"862","84","I've been sad","2023-01-05"
"56","85","I've been euphoric","2023-01-06"
"32","86","I feel tired","2023-01-06"
"67","87","I'm feeling annoyed","2023-01-06"
"84","88","I've been disappointed","2023-01-07"
"79","89","I'm stressed","2023-01-07"
"545","90","I am disappointed","2023-01-07"
"71","91","I feel grateful","2023-01-08"
"405","92","I'm feeling amused","2023-01-08"
"717","93","I'm introspective","2023-01-08"
"33","94","I'm eager","2023-01-09"
"755","95","I am itchy","2023-01-09"
"65","96","I've been lonely","2023-01-09"
"782","97","I am satisfied","2023-01-10"
"11","98","I've gotten sad","2023-01-10"
"209","99","I've been astonished","2023-01-10"
"1","100","I'm annoyed","2023-01-11"
"887","101","I am annoyed","2023-01-11"
"469","102","I'm elated","2023-01-11"
"37","103","I feel impatient","2023-01-12"
"929","104","I'm feeling peaceful","2023-01-12"
"358","105","I've gotten disillusioned","2023-01-12"
"342","106","I'm feeling calm","2023-01-13"
"19","107","I've been excited","2023-01-13"
"65","108","I am bored","2023-01-13"
"72","109","I'm feeling hopeful","2023-01-14"
"752","110","I've been stressed","2023-01-14"
"4","111","I've gotten melancholic","2023-01-14"
"45","112","I'm feeling determined","2023-01-15"
"490","113","I'm nervous","2023-01-15"
"66","114","I'm feeling disgusted","2023-01-15"
"12","115","I am lazy","2023-01-16"
"8","116","I'm worried","2023-01-16"
"56","117","I'm feeling bored","2023-01-16"
"999","118","I'm feeling impatient","2023-01-16"
"679","119","I've been lonely","2023-01-17"
"655","120","I've been determined","2023-01-17"
"75","121","I feel spontaneous","2023-01-17"
"75","122","I am satisfied","2023-01-17"
"163","123","I feel worried","2023-01-18"
"2","124","I've gotten itchy","2023-01-18"
"369","125","I feel amused","2023-01-18"
"280","126","I'm feeling serene","2023-01-18"
"463","127","I've gotten pessimistic","2023-01-19"
"89","128","I'm feeling excited","2023-01-19"
"21","129","I've been sympathetic","2023-01-19"
"61","130","I am calm","2023-01-19"
"18","131","I've gotten melancholic","2023-01-20"
"221","132","I am content","2023-01-20"
"49","133","I'm itchy","2023-01-20"
"938","134","I'm confident","2023-01-20"
"67","135","I've been sympathetic","2023-01-21"
"21","136","I've been lonely","2023-01-21"
"285","137","I feel optimistic","2023-01-21"
"6","138","I've gotten optimistic","2023-01-21"
"84","139","I feel relaxed","2023-01-22"
"292","140","I'm inspired","2023-01-22"
"11","141","I've been worried","2023-01-22"
"769","142","I feel disgusted","2023-01-22"
"188","143","I've been worried","2023-01-23"
"5","144","I'm angry","2023-01-23"
"19","145","I've gotten disappointed","2023-01-23"
"48","146","I feel melancholic","2023-01-23"
"208","147","I am introspective","2023-01-24"
"739","148","I'm tired","2023-01-24"
"320","149","I've gotten lonely","2023-01-24"
"59","150","I've been thrilled","2023-01-24"
"368","151","I've been peaceful","2023-01-25"
"60","152","I'm apprehensive","2023-01-25"
"261","153","I've been satisfied","2023-01-25"
"77","154","I've been happy","2023-01-25"
